x,y,z
40.7707767995569,55.084382848331245,a
50.816357596697664,55.50205202275362,a
7.89047507885963,56.84386728801121,a
30.277150259075093,60.16979836599137,a
2.5423313769512177,90.76103220263536,a
20.28196892839039,58.28005977160723,a
31.079088008573606,80.62873009783817,a
53.69627013324972,146.14418336445635,a
23.397680132444187,76.80300159521659,a
6.705936956226903,59.65689933697308,a
41.5138302231379,115.44828604790746,a
40.8239566323241,133.00552586889273,a
47.061857998808854,139.15912683669444,a
63.63482219489305,106.66351800830239,a
54.84343854979398,106.58002483987701,a
18.664795797046335,138.89950992782002,a
43.75654404611088,143.75473996094598,a
37.21013011921721,178.74883540123255,a
58.40143991726414,176.84588464597607,a
38.32722936086262,200.22935371628017,a
85.32792419015335,159.20702959914848,a
72.66640573338734,150.73147016795582,a
100.96996377302234,180.40481136783256,a
135.45320190596107,204.9972496041799,a
96.52220060219818,178.29671537148278,a
88.50551338079786,178.9754096992193,a
78.50730951444115,229.3090558460783,a
70.77155316868577,262.55421841265036,a
164.50157588700912,228.42628175927854,a
69.78127427163535,237.22848111731167,a
139.72120781218499,248.4472303730107,a
140.59766297537797,271.27043253094917,a
168.1288160829536,294.1009168423035,a
136.90388063029815,298.9545897359979,a
181.09427442367598,261.23443745153895,a
166.81821064710047,284.95664780950244,a
182.72204821539262,287.2827281127355,a
203.33815925488568,338.61888276222464,a
214.25292094329959,292.1248555090271,a
214.03652729558638,329.7112337883867,a
249.91310205969498,259.3195175650104,a
279.7937141234491,283.401839594731,a
271.68627654901866,271.56027528650884,a
278.6074367672074,281.89622057483405,a
266.0030300273005,316.72824221331587,a
295.2952128424388,277.44849822389654,a
262.41302480229837,304.7862406428345,a
320.90724121984084,333.01591989756633,a
327.8232459768434,275.1843165936895,a
342.42640375946155,298.20309053265396,a
295.7029611429916,312.65970742406637,a
331.44052723003705,317.41791422245063,a
311.8632228037132,337.2863544299247,a
318.35385890622365,360.564045961483,a
371.6881010560915,366.90416061787846,a
342.98553468436876,288.9425093452869,a
321.52741715036734,329.9689719268482,a
384.9500873620375,311.30918703314455,a
426.68056544999473,304.2025891854197,a
383.50167384157527,309.9803620731152,a
436.6773216942898,328.66411096892114,a
460.1261511691755,319.6918337154416,a
453.53258680546537,310.8314701780665,a
420.11012816687617,287.6430288618013,a
450.8404038010008,335.6621265115832,a
453.90779889701025,326.47368885016976,a
446.8384916952602,312.9283238514334,a
472.8577959103276,373.0354427532526,a
517.5087829685153,341.1841885204341,a
552.6107887006863,318.523313040437,a
576.6654418874248,362.4345256824064,a
574.6158413199296,316.6090417828849,a
588.2578007373547,298.9236865400743,a
591.7782319017133,358.599556134126,a
572.9908790666951,324.70430690791693,a
635.8943872326225,312.8760205574398,a
642.5254901145834,342.55458623502017,a
580.09207205095,403.5793412117381,a
611.5410706774685,343.34878030486436,a
627.4941332951829,295.0309309016791,a
654.494231047726,388.43427213998575,a
678.7428651888521,320.36496917914377,a
625.3119671903588,353.7971765806116,a
